;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000203952;0.344463204;-0.005476683;0.308784268;0.87955147;NA;CCDC160;347475
ENSG00000206675;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000207042;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000207205;0.344463204;-0.005476683;0.308784268;0.87955147;NA;RNVU1-15;101954267
ENSG00000223754;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000229912;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000234139;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000240270;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000249212;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000251235;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000253943;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000256458;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000261649;0.344463204;-0.005476683;0.308784268;0.87955147;NA;GOLGA6L7;728310
ENSG00000265008;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000269125;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000270445;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NA;NA
ENSG00000182253;79.94727377;0.022858701;0.198427261;0.879553321;0.949866911;SYNM;23336
ENSG00000266910;2.410060814;-0.011450496;0.298759323;0.879569496;NA;NA;NA
ENSG00000177757;4.191730177;-0.012854849;0.29494592;0.879591254;NA;FAM87B;400728
ENSG00000259705;14.99834785;-0.020144331;0.265457149;0.879674086;0.949940317;NA;NA
ENSG00000219487;0.69582838;0.001587411;0.307935067;0.879704872;NA;NA;NA
ENSG00000065621;53.10333339;0.023203096;0.211484144;0.879749033;0.94996424;GSTO2;119391
ENSG00000232196;2.26130434;-0.007220718;0.304242319;0.879772265;NA;MTRNR2L4;100463285
ENSG00000260583;1.917534058;0.008649725;0.302759282;0.879813469;NA;LINC00515;282566
ENSG00000259826;13.30385771;0.020988392;0.264205263;0.879826561;0.949990947;LOC112267983;112267983
ENSG00000198771;1.725810934;0.002364625;0.308059536;0.879837158;NA;RCSD1;92241
ENSG00000245213;12.62040447;0.020085162;0.269070008;0.879927833;0.95000488;LOC101930370;101930370
ENSG00000266926;1.572217022;0.001941874;0.305994061;0.879970131;NA;NA;NA
ENSG00000229932;244.3181694;-0.018425708;0.138985523;0.880019932;0.95000488;NA;NA
ENSG00000149016;110.5521391;-0.021101837;0.161585725;0.880092472;0.95000488;TUT1;64852
ENSG00000204296;0.685011554;-0.004698482;0.307912926;0.880094802;NA;TSBP1;10665
ENSG00000235876;0.685011554;-0.004698482;0.307912926;0.880094802;NA;NA;NA
ENSG00000233254;157.9150657;-0.021162881;0.170148842;0.880133537;0.95000488;NA;NA
ENSG00000063015;1.671205445;-0.006942965;0.304583442;0.880151079;NA;SEZ6;124925
ENSG00000203593;0.761934812;0.003000619;0.307884667;0.880158268;NA;NA;NA
ENSG00000213600;0.761934812;0.003000619;0.307884667;0.880158268;NA;NA;NA
ENSG00000236972;2.760607133;0.012848699;0.296602165;0.880162061;NA;NA;NA
ENSG00000260686;23.65979874;-0.022405913;0.242994607;0.88019379;0.95000488;NA;NA
ENSG00000248155;2.684948619;0.010975351;0.299456896;0.880260262;NA;NA;NA
ENSG00000169429;12.67730556;-0.01905321;0.273604375;0.880289296;0.95000488;CXCL8;3576
ENSG00000106460;1545.204633;0.014795137;0.104343273;0.88029854;0.95000488;TMEM106B;54664
ENSG00000234851;8.710813506;-0.017328385;0.280885133;0.880309855;0.95000488;NA;NA
ENSG00000172534;1614.522507;0.014232893;0.0919955;0.880314626;0.95000488;HCFC1;3054
ENSG00000254759;19.30871763;-0.02271035;0.252066462;0.880408465;0.950045696;NA;NA
ENSG00000124721;0.642174046;-0.007241851;0.308434669;0.880421218;NA;DNAH8;1769
ENSG00000266957;0.642174046;-0.007241851;0.308434669;0.880421218;NA;NA;NA
ENSG00000229348;1.701057522;0.010435321;0.301135427;0.880440192;NA;NA;NA
ENSG00000108753;0.539128281;0.002381434;0.308256725;0.880452061;NA;NA;NA
ENSG00000255410;0.539128281;0.002381434;0.308256725;0.880452061;NA;NA;NA
ENSG00000139890;5.610802007;0.015235926;0.290140472;0.880497791;0.950045696;REM2;161253
ENSG00000132821;24.62562302;0.02286722;0.242849488;0.880510841;0.950045696;VSTM2L;128434
ENSG00000143452;0.513090076;-0.00734042;0.308565168;0.880521384;NA;HORMAD1;84072
ENSG00000226425;0.513090076;-0.00734042;0.308565168;0.880521384;NA;NA;NA
ENSG00000234371;1.550998781;0.009598108;0.302587608;0.880552755;NA;NA;NA
ENSG00000272677;4.241962632;-0.013105296;0.292735109;0.88057266;NA;LOC101928963;101928963
